season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,Status,year,month,day,toss_win_match_win,team1_win_rate,team2_win_rate,team1_last_5_form,team2_last_5_form,team1_venue_win_rate,team2_venue_win_rate,team1_toss_win_rate,team2_toss_win_rate,win_rate_diff,form_diff,venue_win_rate_diff,team1_win,city_encoded,venue_encoded,team1_encoded,team2_encoded,toss_winner_encoded,toss_decision_encoded,Status_encoded
2008.0,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Field,Kolkata Knight Riders,runs,140.0,223.0,20.0,N,,Asad Rauf,RE Koertzen,Completed,2008.0,4.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,16,10,4,10,1,0
2008.0,Chandigarh,2008-04-19,League,MEK Hussey,Punjab Cricket Association Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Bat,Chennai Super Kings,runs,33.0,241.0,20.0,N,,MR Benson,SL Shastri,Completed,2008.0,4.0,19.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,25,7,0,0,0,0
2008.0,Delhi,2008-04-19,League,MF Maharoof,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Bat,Delhi Capitals,wickets,9.0,130.0,20.0,N,,Aleem Dar,GA Pratapkumar,Completed,2008.0,4.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,1,1,8,8,0,0
2008.0,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Royal Challengers Bangalore,wickets,5.0,166.0,20.0,N,,SJ Davis,DJ Harper,Completed,2008.0,4.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27,34,6,10,6,0,0
2008.0,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Bat,Kolkata Knight Riders,wickets,5.0,111.0,20.0,N,,BF Bowden,K Hariharan,Completed,2008.0,4.0,20.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,24,9,4,11,11,0,0
2008.0,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,Bat,Rajasthan Royals,wickets,6.0,167.0,20.0,N,,Aleem Dar,RB Tiffin,Completed,2008.0,4.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19,28,8,7,7,0,0
2008.0,Hyderabad,2008-04-22,League,V Sehwag,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bat,Delhi Capitals,wickets,9.0,143.0,20.0,N,,IL Howell,AM Saheba,Completed,2008.0,4.0,22.0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,17,26,11,1,11,0,0
2008.0,Chennai,2008-04-23,League,ML Hayden,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Chennai Super Kings,runs,6.0,209.0,20.0,N,,DJ Harper,GA Pratapkumar,Completed,2008.0,4.0,23.0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,8,17,0,6,6,1,0
2008.0,Hyderabad,2008-04-24,League,YK Pathan,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,wickets,3.0,215.0,20.0,N,,Asad Rauf,MR Benson,Completed,2008.0,4.0,24.0,1,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,-0.5,-0.5,0.0,0.0,17,26,11,8,8,1,0
2008.0,Chandigarh,2008-04-25,League,KC Sangakkara,Punjab Cricket Association Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,Field,Punjab Kings,runs,66.0,183.0,20.0,N,,Aleem Dar,AM Saheba,Completed,2008.0,4.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,7,25,7,6,6,1,0
